Vereador,Partido,Projeto: PLL 006/14 - PROC. 0149/14 - EMENDA 01 - RENOVAÇÃO DE VOTAÇÃO - Data de votação: 17/09/2014 - Autoria: do Ver. Dr. Thiago                            - Resultado: Rejeitado - Horário de início: 15:49:49  - Horário de término: 15:52:08 - Link para projeto: http://camarapoa.rs.gov.br/processos/121168
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Representação externa
Alceu Brasinha,PTB,Não
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Ausente
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Ausente
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Abstenção
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Não
