Vereador,Partido,Projeto: PROC. 0911/12 - REQ. AUDIÊNCIA PÚBLICA - Data de votação: 06/08/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Votação nula - Horário de início: 17:49:55  - Horário de término: 17:52:08 - Link para projeto: http://camarapoa.rs.gov.br/processos/115301
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Não
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não
Dr. Goular,PTB,Não votou
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Ausente
José Freitas,PRB,Não
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Ausente
João Carlos Nedel,PP,Não votou
Kevin Krieger,PP,Não votou
Luiz Braz,PSDB,Não votou
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Ausente
Márcio Bins Ely,PDT,Não votou
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Pedro Ruas,PSOL,Não votou
Sofia Cavedon,PT,Ausente
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
