Vereador,Partido,Projeto: PLL 223/14 - PROC. 2418/14 - SUBEMENDA 02 À EMENDA 01 - Data de votação: 10/11/2014 - Autoria: do Ver. Cassio Trogildo - Resultado: Rejeitado - Horário de início: 17:31:06  - Horário de término: 17:34:09 - Link para projeto: http://camarapoa.rs.gov.br/processos/123526
Alberto Kopittke,PT,Não
Alceu Brasinha,PTB,Não
Cassio Trogildo,PTB,Não
Delegado Cleiton,PDT,Abstenção
Dr. Thiago,PDT,Abstenção
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Não
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Abstenção
Mauro Pinheiro,PT,Não
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Ausente
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Sim
