Vereador,Partido,Projeto: REQ. 116/15 - PROC. 2077/15 - Data de votação: 23/09/2015 - Autoria: Verª Fernanda Melchionna e Ver. Prof. Alex - Resultado: Aprovado - Horário de início: 15:57:07  - Horário de término: 15:59:36 - Link para projeto: http://camarapoa.rs.gov.br/processos/126359
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não votou
Bernardino Vendruscolo,PROS,Ausente
Carlos Casartelli,PTB,Sim
Cassio Trogildo,PTB,Representação externa
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Representação externa
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Justificado
Tarciso Flecha Negra,PSD,Não votou
Waldir Canal,PRB,Não votou
