Vereador,Partido,Projeto: PLCE 008/07 - PROC. 6777/07 - VETO PARCIAL - Data de votação: 15/09/2010 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 15:05:09  - Horário de término: 15:07:08 - Link para projeto: http://camarapoa.rs.gov.br/processos/89170
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não
Juliana Brizola,PDT,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não
Maurício Dziedricki,PTB,Ausente
Nelcir Tessaro,PTB,Não
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Não
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Não
Waldir Canal,PRB,Não votou
