Vereador,Partido,Projeto: PLCE 007/12 - PROC. 1471/12 - EMENDA 05 - Data de votação: 19/09/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 17:06:31  - Horário de término: 17:08:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/115880
ADELI SELL,PT,Sim
Alceu Brasinha,PTB,Não
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Ausente
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não
Dr. Goular,PTB,Não
Elias Vidal,PPS,Não
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
Jorge Correa,PSB,Não votou
José Freitas,PRB,Não
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não
João Pancinha,PMDB,Não
Kevin Krieger,PP,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Não
Nelcir Tessaro,PTB,Não votou
Paulinho Rubem Berta,PPS,Não
Pedro Ruas,PSOL,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Abstenção
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
