Vereador,Partido,Projeto: PLCL 027/13 - PROC. 2184/13 - VETO PARCIAL - Data de votação: 30/11/2015 - Autoria: da Verª Lourdes Sprenger - Resultado: Rejeitado - Horário de início: 16:44:18  - Horário de término: 16:47:05 - Link para projeto: http://camarapoa.rs.gov.br/processos/119463
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Antonio Matos,N/A,Sim
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Ausente
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Não
Elizandro Sabino,PTB,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Representação externa
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Ausente
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Ausente
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Ausente
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Não
Waldir Canal,PRB,Não
