Vereador,Partido,Projeto: PLE 010/11 - PROC. 0939/11 - Data de votação: 08/06/2011 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 15:48:25  - Horário de término: 15:51:56 - Link para projeto: http://camarapoa.rs.gov.br/processos/111118
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Representação externa
Mario Antonio Manfro,PSDB,Sim
Mario Fraga,PDT,Não votou
Mauro Pinheiro,PT,Representação externa
Mauro Zacher,PDT,Sim
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Sim
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Representação externa
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
