Vereador,Partido,Projeto: PLL 015/10 - PROC. 0541/10 - VETO TOTAL - Data de votação: 15/09/2010 - Autoria: ALDACIR OLIBONI - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 17:07:47  - Horário de término: 17:09:52 - Link para projeto: http://camarapoa.rs.gov.br/processos/106010
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não votou
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Abstenção
Elias Vidal,PPS,Sim
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não votou
Juliana Brizola,PDT,Não votou
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Maurício Dziedricki,PTB,Ausente
Nelcir Tessaro,PTB,Abstenção
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não votou
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
