Vereador,Partido,Projeto: PLE 042/13 - PROC. 3116/13 - Data de votação: 16/04/2014 - Autoria: GOVERNO MUNICIPAL - Resultado: Sem quórum - Horário de início: 16:34:56  - Horário de término: 16:36:52 - Link para projeto: http://camarapoa.rs.gov.br/processos/120506
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Não votou
Idenir Cecchim,PMDB,Ausente
Joao Carlos Nedel,PP,Não votou
João Derly,PCdoB,Ausente
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não votou
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Não votou
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Ausente
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Sim
