Vereador,Partido,"Projeto: PLE 021/17 - PROC. 2307/17 - EMENDAS 03, 08, 09, 14, 16, 17, 18, 19, 20, 22, 23 E 24 - Data de votação: 11/10/2017 - Autoria: Governo Municipal - Resultado: Rejeitado - Horário de início: 17:56:50  - Horário de término: 17:59:09 - Link para projeto: http://camarapoa.rs.gov.br/processos/132635"
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Não
André Carús,PMDB,Não
Cassio Trogildo,PTB,Não votou
Cassiá Carpes,PP,Abstenção
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Não votou
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não votou
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não votou
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não votou
João Carlos Nedel,PP,Não
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Não votou
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Não votou
Moisés Barboza,PSDB,Ausente
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Não votou
Professor Wambert,PROS,Não votou
Reginaldo Pujol,DEM,Não votou
Ricardo Gomes,PP,Não
Roberto Robaina,PSOL,Abstenção
Rodrigo Maroni,PODE,Ausente
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Não votou
