Vereador,Partido,Projeto: PLCE 014/10 - PROC. 4243/10 - EMENDA 01 - Data de votação: 20/12/2010 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 18:11:10  - Horário de término: 18:13:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/109817
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Abstenção
Beto Moesch,PP,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não votou
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Ausente
Idenir Cecchim,PMDB,Abstenção
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não
Juliana Brizola,PDT,Ausente
Luiz Braz,PSDB,Não votou
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Não votou
Maurício Dziedricki,PTB,Não votou
Nelcir Tessaro,PTB,Abstenção
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não votou
Pedro Ruas,PSOL,Abstenção
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
