Vereador,Partido,Projeto: PROC. 3862/08 - DISP. EM. 04 DO ENVIO ÀS COMISSÕES - Data de votação: 21/09/2011 - Autoria: BETO MOESCH - Resultado: Aprovado - Horário de início: 14:27:24  - Horário de término: 14:29:34 - Link para projeto: http://camarapoa.rs.gov.br/processos/96357
ADELI SELL,PT,Não
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Ausente
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Ausente
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Ausente
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Ausente
João Antonio Dib,PP,Abstenção
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Ausente
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Ausente
Mario Fraga,PDT,Ausente
Mauro Pinheiro,PT,Não
Mauro Zacher,PDT,Ausente
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Ausente
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
