Vereador,Partido,Projeto: PLE 037/12 - PROC. 1989/12 - VETO PARCIAL - EMENDA 01 - Data de votação: 03/12/2012 - Autoria: GOVERNO MUNICIPAL - Resultado:  - Horário de início: 16:57:37  - Horário de término: 16:59:46 - Link para projeto: http://camarapoa.rs.gov.br/processos/116423
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não
Bernardino Vendruscolo,PMDB,Ausente
Beto Moesch,PP,Representação externa
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Não
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não votou
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Não
Nelcir Tessaro,PTB,Sim
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Ausente
