Vereador,Partido,Projeto: PLE 036/12 - PROC. 1950/12 - EMENDA 01 - Data de votação: 05/11/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 16:24:39  - Horário de término: 16:26:48 - Link para projeto: http://camarapoa.rs.gov.br/processos/116383
ADELI SELL,PT,Abstenção
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Abstenção
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Abstenção
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
Kevin Krieger,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Abstenção
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Abstenção
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Não votou
Newton Braga Rosa,PP,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Abstenção
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Abstenção
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Abstenção
Waldir Canal,PRB,Sim
