Vereador,Partido,Projeto: PLL 091/14 - PROC. 0952/14 - Data de votação: 15/10/2014 - Autoria: do Ver. João Carlos Nedel - Resultado: sem quorum - Horário de início: 16:00:57  - Horário de término: 16:04:02 - Link para projeto: http://camarapoa.rs.gov.br/processos/121999
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Não
Bernardino Vendruscolo,PROS,Justificado
Cassio Trogildo,PTB,Ausente
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Justificado
Elizandro Sabino,PTB,Ausente
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Não
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Não votou
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Não
Mario Fraga,PDT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Ausente
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Representação externa
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Não votou
