Vereador,Partido,Projeto: PLE 04312 - PROC. 2272/12 - VETO PARCIAL - Data de votação: 04/03/2013 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 19:35:54  - Horário de término: 19:39:04 - Link para projeto: http://camarapoa.rs.gov.br/processos/116722
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não
Cassio Trogildo,PTB,Ausente
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Não
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Não
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Representação externa
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não
