Vereador,Partido,Projeto: PLL 047/11 - PROC. 1445/11 - EMENDA 01 - Data de votação: 02/07/2012 - Autoria: PROFESSOR GARCIA - Resultado: semv quórum - Horário de início: 16:52:55  - Horário de término: 16:55:36 - Link para projeto: http://camarapoa.rs.gov.br/processos/111643
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Representação externa
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Ausente
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Ausente
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Ausente
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Bosco Vaz,PDT,Ausente
João Carlos Nedel,PP,Não votou
Kevin Krieger,PP,Ausente
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Ausente
Paulinho Rubem Berta,PPS,Ausente
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Não votou
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
