Vereador,Partido,Projeto: PLE 058/11 - PROC. 3942/11 - Data de votação: 03/04/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Sem quórum - Horário de início: 17:19:04  - Horário de término: 17:22:21 - Link para projeto: http://camarapoa.rs.gov.br/processos/114214
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Ausente
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Abstenção
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Ausente
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Ausente
Mario Fraga,PDT,Sim
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Não votou
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Representação externa
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Não votou
Waldir Canal,PRB,Não votou
